Airline,KPI_Name,Value,Route,Stopovers
,Number of Flights,346.0,DAC-CCU,
,Number of Flights,377.0,DAC-CGP,
,Number of Flights,398.0,DAC-CXB,
,Number of Flights,328.0,DAC-DEL,
,Number of Flights,359.0,DAC-DOH,
,Number of Flights,413.0,DAC-DXB,
,Number of Flights,399.0,DAC-IST,
,Number of Flights,394.0,DAC-JED,
,Number of Flights,364.0,DAC-JFK,
,Number of Flights,352.0,DAC-JSR,
,Number of Flights,344.0,DAC-KUL,
,Number of Flights,390.0,DAC-LHR,
,Number of Flights,399.0,DAC-RJH,
,Number of Flights,385.0,DAC-SIN,
,Number of Flights,376.0,DAC-SPD,
,Number of Flights,397.0,DAC-YYZ,
,Number of Flights,384.0,DAC-ZYL,
,Number of Flights,380.0,JSR-BKK,
,Number of Flights,401.0,JSR-BZL,
,Number of Flights,383.0,JSR-CCU,
,Number of Flights,399.0,JSR-CGP,
,Number of Flights,371.0,JSR-CXB,
,Number of Flights,396.0,JSR-DAC,
,Number of Flights,362.0,JSR-DEL,
,Number of Flights,359.0,JSR-DOH,
,Number of Flights,399.0,JSR-DXB,
,Number of Flights,375.0,JSR-IST,
,Number of Flights,377.0,JSR-JED,
,Number of Flights,391.0,JSR-JFK,
,Number of Flights,389.0,JSR-KUL,
,Number of Flights,360.0,JSR-LHR,
,Number of Flights,340.0,JSR-RJH,
,Number of Flights,388.0,JSR-SIN,
,Number of Flights,360.0,JSR-SPD,
,Number of Flights,333.0,JSR-YYZ,
,Number of Flights,386.0,JSR-ZYL,
,Number of Flights,362.0,RJH-BKK,
,Number of Flights,367.0,RJH-BZL,
,Number of Flights,382.0,RJH-CCU,
,Number of Flights,363.0,RJH-CGP,
,Number of Flights,396.0,RJH-CXB,
,Number of Flights,385.0,RJH-DAC,
,Number of Flights,378.0,RJH-DEL,
,Number of Flights,364.0,RJH-DOH,
,Number of Flights,373.0,RJH-DXB,
,Number of Flights,352.0,RJH-IST,
,Number of Flights,342.0,RJH-JED,
,Number of Flights,404.0,RJH-JFK,
,Number of Flights,381.0,RJH-JSR,
,Number of Flights,349.0,RJH-KUL,
,Number of Flights,357.0,RJH-LHR,
,Number of Flights,417.0,RJH-SIN,
,Number of Flights,399.0,RJH-SPD,
,Number of Flights,343.0,RJH-YYZ,
,Number of Flights,377.0,RJH-ZYL,
,Number of Flights,388.0,SPD-BKK,
,Number of Flights,381.0,SPD-BZL,
,Number of Flights,352.0,SPD-CCU,
,Number of Flights,356.0,SPD-CGP,
,Number of Flights,340.0,SPD-CXB,
,Number of Flights,382.0,SPD-DAC,
,Number of Flights,404.0,SPD-DEL,
,Number of Flights,357.0,SPD-DOH,
,Number of Flights,385.0,SPD-DXB,
,Number of Flights,352.0,SPD-IST,
,Number of Flights,400.0,SPD-JED,
,Number of Flights,402.0,SPD-JFK,
,Number of Flights,387.0,SPD-JSR,
,Number of Flights,386.0,SPD-KUL,
,Number of Flights,358.0,SPD-LHR,
,Number of Flights,368.0,SPD-RJH,
,Number of Flights,365.0,SPD-SIN,
,Number of Flights,310.0,SPD-YYZ,
,Number of Flights,370.0,SPD-ZYL,
,Number of Flights,375.0,ZYL-BKK,
,Number of Flights,366.0,ZYL-BZL,
,Number of Flights,381.0,ZYL-CCU,
,Number of Flights,380.0,ZYL-CGP,
,Number of Flights,365.0,ZYL-CXB,
,Number of Flights,370.0,ZYL-DAC,
,Number of Flights,392.0,ZYL-DEL,
,Number of Flights,354.0,ZYL-DOH,
,Number of Flights,392.0,ZYL-DXB,
,Number of Flights,385.0,ZYL-IST,
,Number of Flights,392.0,ZYL-JED,
,Number of Flights,383.0,ZYL-JFK,
,Number of Flights,374.0,ZYL-JSR,
,Number of Flights,395.0,ZYL-KUL,
,Number of Flights,367.0,ZYL-LHR,
,Number of Flights,399.0,ZYL-RJH,
,Number of Flights,388.0,ZYL-SIN,
,Number of Flights,369.0,ZYL-SPD,
,Number of Flights,352.0,ZYL-YYZ,
,Average Duration,7.797005823752918,,1 Stop
,Average Duration,9.88411667178287,,2 Stops
,Average Duration,1.7140799848688486,,Direct
